gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3968709594	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW898041	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri		SPECIES	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny	Moniliophthora roreri		CR			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	10.1	-83.38											2538068	2538068	MATERIAL_SAMPLE							CC_BY_4_0		Wilbert Phillips-Mora			2025-12-20T12:14:06.840Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
3968709593	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW898038	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri		SPECIES	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny	Moniliophthora roreri		CO			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	2.69	-75.3											2538068	2538068	MATERIAL_SAMPLE							CC_BY_4_0		Dylan M. Guevara-Ruiz			2025-12-20T12:14:03.864Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_CONCEPT_ID_NOT_FOUND;TAXON_ID_NOT_FOUND
3935117030	91aa3d5b-6f77-4135-a823-cef438a60dfa	cc21215a-9d43-42c6-8d15-1eacf041f6f6	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora perniciosa		SPECIES	Crinipellis perniciosa (Stahel) Singer	Crinipellis perniciosa (Stahel) Singer, 1943		GF			PRESENT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	3.92404	-53.23477	201367.0										2538067	2538064	HUMAN_OBSERVATION							CC_BY_4_0					2025-11-24T18:17:11.714Z		COUNTRY_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
3935044934	91aa3d5b-6f77-4135-a823-cef438a60dfa	50178722-44b4-4395-8ef4-44166314572a	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri		SPECIES	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny, 1978		GF			PRESENT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	3.92404	-53.23477	201367.0										2538068	2538068	HUMAN_OBSERVATION							CC_BY_4_0					2025-11-24T18:17:10.874Z		COUNTRY_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
3910498772	b997f6fc-1029-4a81-9fcf-7aff5a0a4de6	MGYA00573121_Eukaryota:Fungi:Basidiomycota:Agaricomycetes:Agaricales:Marasmiaceae:Moniliophthora:Moniliophthora_perniciosa	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora perniciosa		SPECIES	Moniliophthora perniciosa (Stahel) Aime & Phillips-Mora	Moniliophthora perniciosa		CA			PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880	51.6522	-128.1297							2015-10-28	28	10	2015	2538064	2538064	MATERIAL_SAMPLE							CC_BY_4_0					2026-02-09T22:44:21.959Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3910206652	b997f6fc-1029-4a81-9fcf-7aff5a0a4de6	MGYA00573118_Eukaryota:Fungi:Basidiomycota:Agaricomycetes:Agaricales:Marasmiaceae:Moniliophthora	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora			GENUS	Moniliophthora H.C.Evans et al.	Moniliophthora		CA			PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880	51.6522	-128.1297							2015-07-25	25	7	2015	2538063		MATERIAL_SAMPLE							CC_BY_4_0					2026-02-09T22:44:26.947Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3891394361	861e6afe-f762-11e1-a439-00145eb45e9a	d630e10b-8667-449a-af90-5347395481e1	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora perniciosa		SPECIES	Marasmius perniciosus Stahel	Marasmius perniciosus Stahel	Stahel	GY	Coverden		PRESENT		485ff490-e3b7-11db-9acc-b8a03c50a862									1922-08-08	8	8	1922	2538066	2538064	PRESERVED_SPECIMEN	FH	FH	barcode-00941456	975	Desjardin, Dennis E.	2006-04-06T00:00:00	CC_BY_4_0	President and Fellows of Harvard College	F. L. Stevens			2026-02-07T23:42:23.845Z		
3847010116	6ed43f52-25d1-4d56-a821-63a8564b81f6	69c613e7-aa32-45c0-a385-4f05e1cdd7f8	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora roreri		SPECIES	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny	Moniliophthora roreri (Cif.) H.C.Evans, Stalpers, Samson & Benny, 1978		GF			PRESENT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	3.92404	-53.23477	201367.0										2538068	2538068	HUMAN_OBSERVATION							CC_BY_4_0					2025-11-24T16:38:13.123Z		COUNTRY_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
3846957857	6ed43f52-25d1-4d56-a821-63a8564b81f6	b1165a31-087b-45af-ab77-808874adafde	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	Moniliophthora perniciosa		SPECIES	Crinipellis perniciosa (Stahel) Singer	Crinipellis perniciosa (Stahel) Singer, 1943		GF			PRESENT		1928bdf0-f5d2-11dc-8c12-b8a03c50a862	3.92404	-53.23477	201367.0										2538067	2538064	HUMAN_OBSERVATION							CC_BY_4_0					2025-11-24T16:38:11.837Z		COUNTRY_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
3827956387	68c90cbc-e74b-4fb6-8ee4-6fa3bd247837	https://specieslink.net/guid/441/47431	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora			GENUS	Moniliophthora H.C.Evans et al.	Moniliophthora		BR		Mato Grosso	PRESENT		fe647d6c-1c4b-441b-b93b-d310d074b227													2538063		PRESERVED_SPECIMEN	UFV	VIC	47431	DOA 1995			CC_BY_4_0	Herbário da Universidade Federal de Viçosa	Brommonschenkel, S.H.			2026-01-27T12:02:47.366Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH;TAXON_MATCH_HIGHERRANK
